test_idx,seed,n_iter,batch_size,n_units_hidden,flowmiagan_auc,domias_auc,dcr_auc,accuracy,precision,recall,f1-score
1,1,50,50,32,0.8426806800000001,0.91538313,0.963593975,0.9932666666666666,0.9934330930339919,0.9931307939802891,0.9932596199738148
2,1,50,50,64,0.7519506300000001,0.788816255,0.9586678649999999,0.6808,0.8010270065082947,0.6893548829756555,0.6512839006235056
3,1,50,50,128,0.8511912850000001,0.827086495,0.9152095650000001,0.9774666666666667,0.9778534923339012,0.9780718827040353,0.977466088196113
4,1,50,100,32,0.6857310150000001,0.88174942,0.9492718950000001,0.5311333333333333,0.7545372050816697,0.5437264824185806,0.4177621503496692
5,1,50,100,64,0.63240851,0.89872334,0.947623975,0.9920666666666667,0.9923092190224305,0.9918856855064581,0.9920575211316992
6,1,50,100,128,0.854350655,0.6849538049999999,0.949217305,0.9968666666666667,0.9967983651226158,0.9969508239263007,0.9968647898741483
7,1,50,500,32,0.61047439,0.7538545750000001,0.435208725,0.9282666666666667,0.9332913123405664,0.9298766094726986,0.9281900374577494
8,1,50,500,64,0.52033045,0.8791383300000001,0.896323385,0.5592666666666667,0.7622626582278481,0.5711041909951992,0.46856113176966313
9,1,50,500,128,0.80981075,0.9167687800000002,0.965196385,0.5619333333333333,0.7630193306405078,0.5736992344621772,0.47317179830509637
10,1,50,1000,32,0.703731135,0.742472735,0.6361832550000002,0.5134,0.41305726107848373,0.4996291575070225,0.33984939594184743
11,1,50,1000,64,0.5895172550000001,0.8714359349999999,0.813923115,0.4952666666666667,0.7190034454401089,0.5087936853444146,0.34735053771298696
12,1,50,1000,128,0.8383711800000001,0.890866475,0.906426215,0.5264,0.7532819337361951,0.5391202802646944,0.40880107454399295
13,1,100,50,32,0.7454372549999999,0.8850087900000001,0.897233005,0.4974,0.7458535598705501,0.510899182561308,0.3509604519774011
14,1,100,50,64,0.8680721000000001,0.8894373400000001,0.956957765,0.5433333333333333,0.7578307289825355,0.5555988062800052,0.4402921170730874
15,1,100,50,128,0.5525287600000001,0.52835399,0.867439195,0.5277333333333334,0.7520403920562112,0.5404104363873558,0.41151204718909107
16,1,100,100,32,0.8793293,0.8892473,0.9797843450000001,0.9920666666666667,0.991971414151989,0.9922723800749125,0.9920635132006383
17,1,100,100,64,0.81866066,0.688520435,0.9645058950000001,0.9991333333333333,0.9991345165462019,0.9991308312353351,0.9991326694399747
18,1,100,100,128,0.8902118150000001,0.902357255,0.981286095,0.9960666666666667,0.9959960719278151,0.9961538968591381,0.9960643363164701
19,1,100,500,32,0.8607927550000001,0.9128553600000001,0.970368205,0.9916666666666667,0.9917792760722219,0.9915627194838607,0.9916585814594308
20,1,100,500,64,0.868628795,0.9048561100000001,0.974765275,0.9915333333333334,0.9914411991221849,0.9917570541869307,0.9915301893019586
21,1,100,500,128,0.86644833,0.9363357200000001,0.9806666049999999,0.9960666666666667,0.9959960719278151,0.9961538968591381,0.9960643363164701
22,1,100,1000,32,0.67790146,0.75392548,0.772887545,0.5372666666666667,0.7561823802163833,0.5496950823926301,0.42918866813161843
23,1,100,1000,64,0.640874135,0.877279785,0.945393415,0.5002,0.746551724137931,0.5136239782016349,0.35677924050943083
24,1,100,1000,128,0.8746128949999998,0.899559505,0.9819710150000001,0.9942666666666666,0.9944626470003692,0.9941149836966474,0.9942604415160259
25,1,150,50,32,0.8415469449999999,0.9208847099999999,0.962731615,0.5065333333333333,0.7481456277645457,0.5197872064357077,0.3697488150165147
26,1,150,50,64,0.883293895,0.884834575,0.9399731649999999,0.5482666666666667,0.7591868647380766,0.5603996366939146,0.4491801965258293
27,1,150,50,128,0.87850816,0.92465564,0.9816442649999999,0.9994,0.9993941117396294,0.9994050668036883,0.9993995492055616
28,1,150,100,32,0.855409345,0.93099286,0.975743345,0.9938,0.9937214885954382,0.9939002334418267,0.993796486081576
29,1,150,100,64,0.8868101150000001,0.936149665,0.9805823149999999,0.9954666666666667,0.9953850305825422,0.9955773776898957,0.9954641688550125
30,1,150,100,128,0.894800925,0.9022393799999999,0.976245155,0.9992,0.9992226972405752,0.9991772932949403,0.9991993542311487
31,1,150,500,32,0.8585206149999999,0.9429215849999999,0.983788075,0.9994666666666666,0.9994737523720775,0.9994588944741212,0.9994662521842073
32,1,150,500,64,0.886536225,0.93374513,0.982556565,0.9991333333333333,0.9991459535660357,0.9991197828190936,0.9991326500890418
33,1,150,500,128,0.8644220300000001,0.9482913449999999,0.984766825,0.9994,0.9994013884741502,0.9993977011928608,0.999399540381521
34,1,150,1000,32,0.68067033,0.8980182250000001,0.347681625,0.9928,0.9930067520848587,0.9926398333194294,0.9927920551148297
35,1,150,1000,64,0.870907845,0.891699205,0.978194735,0.9994666666666666,0.999459052588411,0.9994736256957766,0.9994662679094914
36,1,150,1000,128,0.883070585,0.941521115,0.982134835,0.9991333333333333,0.9991459535660357,0.9991197828190936,0.9991326500890418
37,1,200,50,32,0.84186929,0.907318625,0.9713948649999999,0.9437333333333333,0.9506490468951,0.9421362950774715,0.9433347717767202
38,1,200,50,64,0.8708618650000001,0.96160019,0.970309595,0.9933333333333333,0.9935541163907361,0.9931662076236527,0.9933258581758388
39,1,200,50,128,0.840623205,0.90153237,0.948977065,0.9690666666666666,0.9700915302307593,0.9698974957830544,0.9690663229591441
40,1,200,100,32,0.8117067600000001,0.8992566200000001,0.9746170449999999,0.9930666666666667,0.9929702307433148,0.9932418385696155,0.9930635882563064
41,1,200,100,64,0.8648789800000001,0.92518195,0.978562365,0.9994666666666666,0.999466260084949,0.999466260084949,0.999466260084949
42,1,200,100,128,0.889954285,0.931487495,0.982936075,0.9949333333333333,0.9948807684183611,0.994988395693637,0.99493004520852
43,1,200,500,32,0.84112556,0.93025069,0.9794704849999999,0.9962666666666666,0.9963931469792606,0.996160702043055,0.9962629977609128
44,1,200,500,64,0.8812934900000001,0.931641925,0.976630275,0.9954,0.9953221288515406,0.9955014531869797,0.9953973928992339
45,1,200,500,128,0.8666037600000001,0.9382564800000001,0.976984665,0.998,0.9979597453139701,0.9980426689835249,0.9979986470854297
