test_idx,n_iter,batch_size,n_units_hidden,dataset_file
1,50,50,32,test_1.csv
2,50,50,64,test_2.csv
3,50,50,128,test_3.csv
4,50,100,32,test_4.csv
5,50,100,64,test_5.csv
6,50,100,128,test_6.csv
7,50,500,32,test_7.csv
8,50,500,64,test_8.csv
9,50,500,128,test_9.csv
10,50,1000,32,test_10.csv
11,50,1000,64,test_11.csv
12,50,1000,128,test_12.csv
13,100,50,32,test_13.csv
14,100,50,64,test_14.csv
15,100,50,128,test_15.csv
16,100,100,32,test_16.csv
17,100,100,64,test_17.csv
18,100,100,128,test_18.csv
19,100,500,32,test_19.csv
20,100,500,64,test_20.csv
21,100,500,128,test_21.csv
22,100,1000,32,test_22.csv
23,100,1000,64,test_23.csv
24,100,1000,128,test_24.csv
25,150,50,32,test_25.csv
26,150,50,64,test_26.csv
27,150,50,128,test_27.csv
28,150,100,32,test_28.csv
29,150,100,64,test_29.csv
30,150,100,128,test_30.csv
31,150,500,32,test_31.csv
32,150,500,64,test_32.csv
33,150,500,128,test_33.csv
34,150,1000,32,test_34.csv
35,150,1000,64,test_35.csv
36,150,1000,128,test_36.csv
37,200,50,32,test_37.csv
38,200,50,64,test_38.csv
39,200,50,128,test_39.csv
40,200,100,32,test_40.csv
41,200,100,64,test_41.csv
42,200,100,128,test_42.csv
43,200,500,32,test_43.csv
44,200,500,64,test_44.csv
45,200,500,128,test_45.csv
46,200,1000,32,test_46.csv
47,200,1000,64,test_47.csv
48,200,1000,128,test_48.csv
