test_idx,seed,n_iter,batch_size,n_units_hidden,flowmiagan_auc,domias_auc,dcr_auc,accuracy,precision,recall,f1-score
1,1,50,50,32,0.59510605,0.6097279250000001,0.74528693,0.9900769230769231,0.9924682321308675,0.9830907064811594,0.9876414525843105
2,1,50,50,64,0.563842555,0.32129215000000005,0.7951040300000001,0.9985384615384615,0.9977484252180107,0.9986512446331053,0.9981985450063737
3,1,50,50,128,0.581825865,0.80037838,0.78861288,0.9979230769230769,0.9974786148809471,0.9973964105625295,0.9974375020437016
4,1,50,100,32,0.43204084499999995,0.191570825,0.61293723,0.9884615384615385,0.9910985896291102,0.9804782694911364,0.9856112139380495
5,1,50,100,64,0.26068918500000005,0.550880045,0.72256433,0.9975384615384615,0.996075820397407,0.9978718862126486,0.9969687144516188
6,1,50,100,128,0.535740235,0.289816725,0.7439052100000001,0.9976153846153846,0.9973448790052499,0.9967689935272415,0.997056412610606
7,1,50,500,32,0.5424279000000001,0.16937394,0.66475042,0.7176153846153847,0.3588076923076923,0.5,0.4177974830937346
8,1,50,500,64,0.334072245,0.22943846499999998,0.7426741299999999,0.9886153846153846,0.9904988590627848,0.9814115256862701,0.985824817614618
9,1,50,500,128,0.559933565,0.24541472499999994,0.72634227,0.9970769230769231,0.9956679343381367,0.9971372765522133,0.9963991649561486
10,1,50,1000,32,0.492449995,0.10516166499999999,0.37883997,0.7176153846153847,0.3588076923076923,0.5,0.4177974830937346
11,1,50,1000,64,0.53420725,0.36290991499999997,0.7286285399999999,0.9903076923076923,0.9908988704920219,0.9851514416298488,0.9879726866321831
12,1,50,1000,128,0.510585385,0.33765707,0.72098821,0.9942307692307693,0.9926824267139828,0.9930890540620209,0.9928854753959271
13,1,100,50,32,0.544668395,0.7982602900000002,0.76093541,0.9942307692307693,0.9948998025031033,0.9908586824230579,0.9928534858837765
14,1,100,50,64,0.49669763,0.329344655,0.77300703,0.9987692307692307,0.9979110449800478,0.9990598526418222,0.9984833599503662
15,1,100,50,128,0.6080654600000001,0.319659155,0.79051213,0.9985384615384615,0.9983201175491186,0.9980730001341149,0.998196462600158
16,1,100,100,32,0.557755275,0.34358769,0.7338359900000001,0.9936923076923077,0.9934377796955105,0.9909791463770339,0.9921988577605587
17,1,100,100,64,0.40347624,0.29513166,0.72326388,0.9975384615384615,0.9979547581263434,0.9959719400016802,0.9969571709226435
18,1,100,100,128,0.29187748999999996,0.5449242900000001,0.7768453000000002,0.9986153846153846,0.99756031444836,0.9990352663736735,0.9982943412950178
19,1,100,500,32,0.5344466649999999,0.22749242999999997,0.8527548300000001,0.8206923076923077,0.8942953616736667,0.6839158852958903,0.7133600033485319
20,1,100,500,64,0.58154753,0.7943839050000001,0.74467001,0.9970769230769231,0.9968853718596066,0.9958981811972338,0.9963902372724809
21,1,100,500,128,0.446662415,0.3736029250000001,0.7789952899999999,0.9971538461538462,0.9970217161858256,0.9959517775098076,0.9964849397315878
22,1,100,1000,32,0.29128257,0.123483285,0.86764353,0.7176153846153847,0.3588076923076923,0.5,0.4177974830937346
23,1,100,1000,64,0.58863327,0.7127358450000001,0.7354509,0.9969230769230769,0.9969430882917882,0.995460563144092,0.9961983586501202
24,1,100,1000,128,0.55536583,0.27039935,0.76933491,0.9973846153846154,0.9980157658212192,0.9955343219485382,0.996765380047061
25,1,150,50,32,0.62340785,0.19513043500000002,0.75722095,0.9963846153846154,0.9962354925071779,0.9948375698850802,0.9955334420731847
26,1,150,50,64,0.600643885,0.235452165,0.79360776,0.9978461538461538,0.9972611709515109,0.9974254206069544,0.9973432531007448
27,1,150,50,128,0.44774805,0.647838045,0.7657826,0.9980769230769231,0.997586622794725,0.997668815901674,0.9976277086722014
28,1,150,100,32,0.584058475,0.555526085,0.74511025,0.9903076923076923,0.9915812847980647,0.9844905907738598,0.9879564547755613
29,1,150,100,64,0.56761328,0.25435192500000003,0.77657423,0.9974615384615385,0.9973195375668433,0.9964139818310982,0.9968654657688805
30,1,150,100,128,0.55607857,0.75742025,0.80601928,0.9980769230769231,0.9979149360320008,0.9973383904736796,0.9976261392021015
31,1,150,500,32,0.3430723050000001,0.269310755,0.81452424,0.9377692307692308,0.959967486871288,0.8898946466729889,0.9173216360913817
32,1,150,500,64,0.581965775,0.28180454499999996,0.72110724,0.9958461538461538,0.9960248831017517,0.9937189384840768,0.994863517514132
33,1,150,500,128,0.56670174,0.32529643,0.77262976,0.9985384615384615,0.9979924157018825,0.9984034255621094,0.9981976537669682
34,1,150,1000,32,0.5560205699999999,0.67129973,0.74746188,0.9732307692307692,0.9749630833218368,0.9587143414067298,0.966410223124325
35,1,150,1000,64,0.620070135,0.5429398249999999,0.75170016,0.9956153846153846,0.9951196317470885,0.9940537876883473,0.9945849071540678
36,1,150,1000,128,0.17500163999999999,0.29798391500000004,0.75436104,0.9985384615384615,0.9979924157018825,0.9984034255621094,0.9981976537669682
37,1,200,50,32,0.550920705,0.26828314000000003,0.76009677,0.9963076923076923,0.9959344877729326,0.9949491862865039,0.9954402997126073
38,1,200,50,64,0.547975445,0.75090374,0.77174484,0.9983076923076923,0.9978303798833273,0.9979948175533924,0.997912556007728
39,1,200,50,128,0.610350415,0.309021955,0.7936539900000001,0.9982307692307693,0.9978582755810999,0.9977760085268215,0.9978171313705606
40,1,200,100,32,0.36379482500000004,0.35741852500000004,0.7444289399999999,0.9989230769230769,0.9985893251257492,0.9987540134819766,0.9986716265503723
41,1,200,100,64,0.6024421249999999,0.29908823500000004,0.7600342600000001,0.9984615384615385,0.997938392515183,0.9982672228925371,0.9981026368939454
42,1,200,100,128,0.546656355,0.24626132999999997,0.7674967400000001,0.998,0.9981093354296036,0.9969543687331113,0.9975297528840792
43,1,200,500,32,0.456794875,0.18942981,0.65771835,0.9141538461538462,0.9434794484273253,0.8496499478972594,0.8826719014343045
44,1,200,500,64,0.578617945,0.16065578,0.77598912,0.9963846153846154,0.9973235977960577,0.993763687244098,0.9955237635808994
45,1,200,500,128,0.5968007449999999,0.33164599499999997,0.79799526,0.9986923076923077,0.998100495836298,0.998675830901254,0.9983876404130825
46,1,200,1000,32,0.44992940000000003,0.81084003,0.7077221300000001,0.9845384615384616,0.9843179238098827,0.9774144321218834,0.9807893003769774
47,1,200,1000,64,0.5878010749999999,0.159169695,0.77498534,0.9961538461538462,0.9946121142506468,0.9959158763023386,0.9952612797653234
48,1,200,1000,128,0.5437376899999999,0.35234340999999997,0.79943789,0.9984615384615385,0.9981020101785398,0.9981020101785398,0.9981020101785398
49,25,50,50,32,0.37792998499999997,0.164270395,0.71872662,0.9943076923076923,0.9953773866378797,0.9905818533076372,0.9929434552762944
50,25,50,50,64,0.211259655,0.25851744,0.7539121099999999,0.9982307692307693,0.9970470601591086,0.9986020720968078,0.997820726377554
51,25,50,50,128,0.30764248,0.365337215,0.7891256600000001,0.9969230769230769,0.9965307884339694,0.9958735949290851,0.9962015083459728
52,25,50,100,32,0.47036554500000005,0.18860355,0.62535886,0.9883076923076923,0.9912614852157617,0.9799580450809959,0.9854093896366676
