test_idx,seed,n_iter,batch_size,n_units_hidden,dataset_file
1,1,50,50,32,test_1.csv
2,1,50,50,64,test_2.csv
3,1,50,50,128,test_3.csv
4,1,50,100,32,test_4.csv
5,1,50,100,64,test_5.csv
6,1,50,100,128,test_6.csv
7,1,50,500,32,test_7.csv
8,1,50,500,64,test_8.csv
9,1,50,500,128,test_9.csv
10,1,50,1000,32,test_10.csv
11,1,50,1000,64,test_11.csv
12,1,50,1000,128,test_12.csv
13,1,100,50,32,test_13.csv
14,1,100,50,64,test_14.csv
15,1,100,50,128,test_15.csv
16,1,100,100,32,test_16.csv
17,1,100,100,64,test_17.csv
18,1,100,100,128,test_18.csv
19,1,100,500,32,test_19.csv
20,1,100,500,64,test_20.csv
21,1,100,500,128,test_21.csv
22,1,100,1000,32,test_22.csv
23,1,100,1000,64,test_23.csv
24,1,100,1000,128,test_24.csv
25,1,150,50,32,test_25.csv
26,1,150,50,64,test_26.csv
27,1,150,50,128,test_27.csv
28,1,150,100,32,test_28.csv
29,1,150,100,64,test_29.csv
30,1,150,100,128,test_30.csv
31,1,150,500,32,test_31.csv
32,1,150,500,64,test_32.csv
33,1,150,500,128,test_33.csv
34,1,150,1000,32,test_34.csv
35,1,150,1000,64,test_35.csv
36,1,150,1000,128,test_36.csv
37,1,200,50,32,test_37.csv
38,1,200,50,64,test_38.csv
39,1,200,50,128,test_39.csv
40,1,200,100,32,test_40.csv
41,1,200,100,64,test_41.csv
42,1,200,100,128,test_42.csv
43,1,200,500,32,test_43.csv
44,1,200,500,64,test_44.csv
45,1,200,500,128,test_45.csv
46,1,200,1000,32,test_46.csv
47,1,200,1000,64,test_47.csv
48,1,200,1000,128,test_48.csv
49,25,50,50,32,test_49.csv
50,25,50,50,64,test_50.csv
51,25,50,50,128,test_51.csv
52,25,50,100,32,test_52.csv
53,25,50,100,64,test_53.csv
54,25,50,100,128,test_54.csv
55,25,50,500,32,test_55.csv
56,25,50,500,64,test_56.csv
57,25,50,500,128,test_57.csv
