srcip,dstip,srcport,dstport,proto,ts,td,pkt,byt,label
3232291855,3232261125,48888,445,TCP,1489536076551000.0,0.004,2,174.0,0
3232291855,3232261125,48888,445,TCP,1489536076551000.0,0.004,2,174.0,0
3232261125,3232291855,445,48888,TCP,1489536076552000.0,0.0,1,108.0,0
3232261125,3232291855,445,48888,TCP,1489536076552000.0,0.0,1,108.0,0
3232291856,3232261125,58844,445,TCP,1489536076631000.0,0.004,2,174.0,0
3232291856,3232261125,58844,445,TCP,1489536076631000.0,0.004,2,174.0,0
3232261125,3232291856,445,58844,TCP,1489536076632000.0,0.0,1,108.0,0
3232261125,3232291849,445,37884,TCP,1489536077431000.0,0.0,1,70.0,0
3232291849,3232261125,37884,445,TCP,1489536077432000.0,0.0,1,66.0,0
3232291849,3232261125,37884,445,TCP,1489536077432000.0,0.0,1,66.0,0
3232289284,3232289535,138,138,UDP,1489536077827000.0,0.0,1,243.0,0
3232291845,3232261125,51146,445,TCP,1489536081701000.0,0.003,2,174.0,0
3232291845,3232261125,51146,445,TCP,1489536081701000.0,0.003,2,174.0,0
3232261125,3232291845,445,51146,TCP,1489536081702000.0,0.0,1,108.0,0
3232261125,3232291845,445,51146,TCP,1489536081703000.0,0.0,1,108.0,0
3232286724,3232286975,137,137,UDP,1489536086699000.0,0.0,1,92.0,0
3232291848,3232292095,137,137,UDP,1489536087007000.0,0.0,1,92.0,0
3232291847,3232261125,37191,445,TCP,1489536088259000.0,0.005,2,174.0,0
3232261125,3232291847,445,37191,TCP,1489536088260000.0,0.0,1,108.0,0
3232291854,3232261125,52321,445,TCP,1489536089431000.0,0.004,2,174.0,0
3232261125,3232291854,445,52321,TCP,1489536089432000.0,0.0,1,108.0,0
3232291856,3232286724,51431,25,TCP,1489536089451000.0,0.0,1,58.0,1
3232291856,3232286729,51491,135,TCP,1489536090453000.0,0.003,2,112.0,1
3232291853,3232261125,60689,445,TCP,1489536090740000.0,0.003,2,174.0,0
3232261125,3232291853,445,60689,TCP,1489536090742000.0,0.0,1,108.0,0
3232286724,3232261125,43183,445,TCP,1489536091085000.0,0.002,2,174.0,0
3232261125,3232286724,445,43183,TCP,1489536091086000.0,0.0,1,108.0,0
3232291856,3232286721,51357,52822,TCP,1489536091454000.0,0.0,1,58.0,1
3232291856,3232286725,51357,10616,TCP,1489536092455000.0,0.0,1,58.0,1
3232291856,3232286722,51357,8045,TCP,1489536093456000.0,0.0,1,58.0,1
3232291856,3232286728,51357,2033,TCP,1489536094457000.0,0.0,1,58.0,1
3232289283,3232289535,138,138,UDP,1489536097849000.0,0.0,2,517.0,0
3232291850,3232261125,40239,445,TCP,1489536106359000.0,0.003,2,174.0,0
3232261125,3232291850,445,40239,TCP,1489536106361000.0,0.0,1,108.0,0
3232291852,3232292095,137,137,UDP,1489536107028000.0,0.0,1,92.0,0
3232291856,3232286728,51407,135,TCP,1489536109458000.0,0.002,2,112.0,1
3232291856,3232286729,51358,1035,TCP,1489536110462000.0,0.0,1,58.0,1
3232291849,3232261125,37884,445,TCP,1489536111476000.0,0.004,2,174.0,0
3232261125,3232291849,445,37884,TCP,1489536111478000.0,0.0,1,108.0,0
3232291851,3232261125,34743,445,TCP,1489536119200000.0,0.004,2,174.0,0
3232261125,3232291851,445,34743,TCP,1489536119201000.0,0.0,1,108.0,0
3232286725,3232261125,46808,445,TCP,1489536122702000.0,0.002,2,174.0,0
3232261125,3232286725,445,46808,TCP,1489536122703000.0,0.0,1,108.0,0
3232291852,3232261125,49511,445,TCP,1489536124647000.0,0.004,2,174.0,0
3232261125,3232291852,445,49511,TCP,1489536124648000.0,0.0,1,108.0,0
3232291856,3232286728,51358,2033,TCP,1489536125461000.0,0.0,1,58.0,1
3232291846,3232261125,46709,445,TCP,1489536127394000.0,0.002,2,174.0,0
3232261125,3232291846,445,46709,TCP,1489536127395000.0,0.0,1,108.0,0
3232291844,3232261125,43145,445,TCP,1489536128629000.0,0.003,2,174.0,0
3232261125,3232291844,445,43145,TCP,1489536128630000.0,0.0,1,108.0,0
3232291848,3232261125,49094,445,TCP,1489536129080000.0,0.004,2,174.0,0
3232261125,3232291848,445,49094,TCP,1489536129081000.0,0.0,1,108.0,0
3232261124,3232261375,138,138,UDP,1489536129761000.0,0.0,1,262.0,0
3232291855,3232261125,48888,445,TCP,1489536136712000.0,0.003,2,174.0,0
3232261125,3232291855,445,48888,TCP,1489536136713000.0,0.0,1,108.0,0
3232291856,3232261125,58844,445,TCP,1489536136792000.0,0.004,2,174.0,0
3232261125,3232291856,445,58844,TCP,1489536136796000.0,0.0,1,108.0,0
3232291856,3232286721,51357,15660,TCP,1489536140462000.0,0.0,1,58.0,1
3232291856,3232286724,51357,512,TCP,1489536141463000.0,0.0,1,58.0,1
3232291845,3232261125,51146,445,TCP,1489536141862000.0,0.002,2,174.0,0
3232261125,3232291845,445,51146,TCP,1489536141864000.0,0.0,1,108.0,0
3232291856,3232286729,51357,6580,TCP,1489536142464000.0,0.0,1,58.0,1
3232291855,3232292095,137,137,UDP,1489536147070000.0,0.0,1,92.0,0
3232291849,3232292095,137,137,UDP,1489536147070000.0,0.0,1,92.0,0
3232291847,3232261125,37191,445,TCP,1489536148411000.0,0.005,2,174.0,0
3232261125,3232291847,445,37191,TCP,1489536148413000.0,0.0,1,108.0,0
3232291854,3232261125,52321,445,TCP,1489536149591000.0,0.003,2,174.0,0
3232261125,3232291854,445,52321,TCP,1489536149592000.0,0.0,1,108.0,0
3232261125,3232261375,137,137,UDP,1489536149782000.0,0.0,1,92.0,0
