test_id,num_epochs,seed,flowmiagan_auc,domias_auc,dcr_auc,accuracy,precision,recall,f1-score
2,50,1,0.83067334,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
3,50,2,0.83067334,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
4,50,25,0.83067334,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
5,50,42,0.83067334,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
6,50,123,0.83067334,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
7,100,1,0.81566134,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
8,100,2,0.81566134,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
9,100,25,0.81566134,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
10,100,42,0.81566134,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
11,100,123,0.81566134,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
12,120,1,0.8200205749999998,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
13,120,2,0.8200205749999998,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
14,120,25,0.8200205749999998,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
15,120,42,0.8200205749999998,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
16,120,123,0.8200205749999998,0.978297205,0.99995,0.9993333333333333,0.9993441643625416,0.9993217766899447,0.9993328102565745
